objectid;id_medidor;fecha;energia_kw;potencia_k;hora
85982;4;2/10/2019;204860.00;44.26;3:30
85990;4;2/10/2019;204862.00;47.02;3:45
85997;4;2/10/2019;204864.00;44.58;4:00
86004;4;2/10/2019;204867.00;46.72;4:15
86011;4;2/10/2019;204869.00;44.66;4:30
86018;4;2/10/2019;204871.00;46.84;4:45
86026;4;2/10/2019;204873.00;44.92;5:00
86033;4;2/10/2019;204876.00;44.96;5:15
86041;4;2/10/2019;204878.00;45.06;5:30
86048;4;2/10/2019;204880.00;53.08;5:45
86055;4;2/10/2019;204883.00;76.72;6:00
86062;4;2/10/2019;204887.00;56.84;6:15
86070;4;2/10/2019;204890.00;61.88;6:30
86078;4;2/10/2019;204893.00;60.60;6:45
86093;4;2/10/2019;204897.00;69.50;7:00
86101;4;2/10/2019;204900.00;75.78;7:15
86108;4;2/10/2019;204904.00;73.34;7:30
86115;4;2/10/2019;204908.00;101.30;7:45
86122;4;2/10/2019;204913.00;92.68;8:00
86129;4;2/10/2019;204917.00;85.36;8:15
86137;4;2/10/2019;204922.00;82.12;8:30
86144;4;2/10/2019;204926.00;89.64;8:45
86152;4;2/10/2019;204930.00;83.86;9:00
86161;4;2/10/2019;204934.00;87.34;9:15
86169;4;2/10/2019;204938.00;79.32;9:30
86176;4;2/10/2019;204942.00;80.08;9:45
86185;4;2/10/2019;204946.00;81.10;10:00
86194;4;2/10/2019;204950.00;79.28;10:15
86210;4;2/10/2019;204955.00;88.12;10:30
86217;4;2/10/2019;204959.00;92.60;10:45
86223;4;2/10/2019;204964.00;98.94;11:00
86230;4;2/10/2019;204969.00;98.28;11:15
86236;4;2/10/2019;204974.00;100.94;11:30
86243;4;2/10/2019;204979.00;99.36;11:45
86250;4;2/10/2019;204984.00;104.48;12:00
86255;4;2/10/2019;204990.00;91.42;12:15
86261;4;2/10/2019;204994.00;114.66;12:30
86268;4;2/10/2019;204999.00;94.86;12:45
86274;4;2/10/2019;205004.00;94.90;13:00
86280;4;2/10/2019;205009.00;106.76;13:15
86287;4;2/10/2019;205015.00;116.22;13:30
86294;4;2/10/2019;205020.00;110.96;13:45
86307;4;2/10/2019;205026.00;94.24;14:00
86314;4;2/10/2019;205031.00;98.02;14:15
86319;4;2/10/2019;205036.00;97.22;14:30
