objectid;id_medidor;fecha;energia_kw;potencia_k
481329;4;1/03/2021;31108.72;27.62
481340;4;1/03/2021;31113.75;26.12
481351;4;2/03/2021;31117.39;38.56
481362;4;2/03/2021;31121.09;31.64
481371;4;2/03/2021;31127.71;47.20
481383;4;3/03/2021;31131.97;31.26
481394;4;3/03/2021;31137.10;30.74
481405;4;3/03/2021;31141.65;27.20
481416;4;4/03/2021;31146.38;26.30
481427;4;4/03/2021;31149.50;37.00
481445;4;7/02/2021;30775.10;28.02
481453;4;8/02/2021;30779.27;27.58
481462;4;8/02/2021;30784.32;32.22
481474;4;8/02/2021;30789.21;49.56
481484;4;9/02/2021;30793.77;27.92
481494;4;9/02/2021;30799.97;41.74
481504;4;9/02/2021;30806.00;27.52
481514;4;10/02/2021;30811.57;28.16
481526;4;10/02/2021;30816.63;35.58
481534;4;10/02/2021;30820.82;27.58
481544;4;11/02/2021;30825.75;28.50
481555;4;11/02/2021;30830.79;45.96
481565;4;25/02/2021;31039.21;27.14
481575;4;25/02/2021;31043.37;40.62
481585;4;25/02/2021;31049.72;28.54
481595;4;25/02/2021;31054.17;26.64
481605;4;26/02/2021;31057.95;26.86
481614;4;26/02/2021;31063.74;33.54
481624;4;26/02/2021;31068.52;40.52
481634;4;27/02/2021;31072.08;24.88
481644;4;27/02/2021;31076.62;34.36
481654;4;27/02/2021;31081.76;46.18
481664;4;28/02/2021;31085.35;29.68
481676;4;28/02/2021;31089.13;28.46
481688;4;28/02/2021;31093.29;28.50
481833;4;7/02/2021;30771.14;27.42
481841;4;7/02/2021;30773.02;27.48
481851;4;7/02/2021;30777.88;27.66
481862;4;8/02/2021;30782.65;32.50
481873;4;8/02/2021;30787.56;27.02
481883;4;9/02/2021;30793.49;28.30
481894;4;9/02/2021;30798.62;49.36
481904;4;9/02/2021;30804.59;32.00
481915;4;10/02/2021;30810.74;27.34
481923;4;10/02/2021;30814.55;41.36
481932;4;10/02/2021;30820.22;27.76
481942;4;10/02/2021;30824.62;28.54
481953;4;11/02/2021;30829.24;53.70
481963;4;24/02/2021;31038.25;27.00
481973;4;25/02/2021;31042.07;27.22
481983;4;25/02/2021;31047.85;35.88
481993;4;25/02/2021;31052.23;42.90
482003;4;26/02/2021;31056.60;27.18
482012;4;26/02/2021;31062.31;36.38
482022;4;26/02/2021;31066.66;41.86
482032;4;27/02/2021;31070.86;24.70
482042;4;27/02/2021;31074.93;37.36
482052;4;27/02/2021;31079.56;34.64
482063;4;27/02/2021;31084.44;29.34
482075;4;28/02/2021;31089.04;28.54
482087;4;28/02/2021;31093.15;28.52
482099;4;28/02/2021;31097.36;28.68
482111;4;1/03/2021;31101.27;29.38
482123;4;1/03/2021;31105.90;36.40
482135;4;1/03/2021;31110.10;43.08
482146;4;2/03/2021;31114.67;26.60
482157;4;2/03/2021;31118.49;26.50
482168;4;2/03/2021;31122.97;29.62
482179;4;2/03/2021;31129.17;30.74
482190;4;3/03/2021;31133.20;31.44
482201;4;3/03/2021;31139.03;38.92
482212;4;3/03/2021;31143.24;42.84
482223;4;4/03/2021;31147.44;26.52
482238;4;7/02/2021;30771.49;27.42
482249;4;7/02/2021;30776.49;28.38
482259;4;8/02/2021;30780.80;27.00
482269;4;8/02/2021;30786.55;28.40
482280;4;8/02/2021;30791.65;28.04
482291;4;9/02/2021;30796.30;27.76
482301;4;9/02/2021;30803.16;44.86
482312;4;9/02/2021;30809.05;27.96
482324;4;10/02/2021;30813.40;28.58
482332;4;10/02/2021;30819.23;35.50
482343;4;10/02/2021;30824.90;28.34
482351;4;11/02/2021;30828.86;28.28
482363;4;24/02/2021;31037.98;27.00
482373;4;25/02/2021;31042.53;33.36
482383;4;25/02/2021;31048.38;34.76
482393;4;25/02/2021;31052.66;42.78
482403;4;26/02/2021;31056.87;26.84
482413;4;26/02/2021;31061.38;37.88
482422;4;26/02/2021;31066.08;28.32
482432;4;27/02/2021;31071.46;24.82
482442;4;27/02/2021;31075.88;37.42
482458;4;27/02/2021;31083.85;29.52
482470;4;28/02/2021;31089.00;28.62
482482;4;28/02/2021;31092.31;28.90
482494;4;28/02/2021;31096.47;29.14
482506;4;1/03/2021;31100.54;28.68
482518;4;1/03/2021;31104.88;37.78
482530;4;1/03/2021;31109.09;25.74
482541;4;1/03/2021;31113.88;25.84
482552;4;2/03/2021;31117.73;36.74
482563;4;2/03/2021;31122.05;30.80
482581;4;3/03/2021;31130.11;31.08
482592;4;3/03/2021;31134.87;45.00
482603;4;3/03/2021;31140.32;26.08
482614;4;3/03/2021;31145.05;26.60
482632;4;7/02/2021;30771.13;28.14
482642;4;7/02/2021;30774.42;27.60
482652;4;8/02/2021;30778.74;27.56
482662;4;8/02/2021;30783.87;34.36
482672;4;8/02/2021;30788.67;26.56
482684;4;9/02/2021;30793.07;28.18
482695;4;9/02/2021;30797.27;45.00
482702;4;9/02/2021;30803.56;39.30
482712;4;9/02/2021;30808.91;28.06
482723;4;10/02/2021;30813.55;34.46
482730;4;10/02/2021;30818.76;28.24
482741;4;10/02/2021;30823.62;29.12
482750;4;11/02/2021;30828.01;28.64
482762;4;24/02/2021;31037.02;43.36
482772;4;25/02/2021;31041.25;27.68
482782;4;25/02/2021;31046.64;39.08
482792;4;25/02/2021;31052.02;42.64
482802;4;26/02/2021;31056.46;26.90
482812;4;26/02/2021;31060.81;32.38
482821;4;26/02/2021;31065.66;28.22
482831;4;26/02/2021;31070.10;24.68
482841;4;27/02/2021;31073.74;30.58
482857;4;27/02/2021;31083.11;29.60
482869;4;28/02/2021;31087.96;28.88
482881;4;28/02/2021;31091.57;28.62
482893;4;28/02/2021;31095.89;29.02
482905;4;1/03/2021;31100.11;29.00
482917;4;1/03/2021;31103.94;39.74
482929;4;1/03/2021;31108.45;26.02
482940;4;1/03/2021;31113.35;25.90
482951;4;2/03/2021;31117.22;40.34
482962;4;2/03/2021;31120.93;38.30
482973;4;2/03/2021;31126.53;46.58
482984;4;3/03/2021;31132.43;30.62
482995;4;3/03/2021;31137.89;56.34
483006;4;3/03/2021;31142.17;42.10
483017;4;4/03/2021;31146.78;26.90
483028;4;4/03/2021;31149.86;36.86
483033;4;7/02/2021;30771.13;27.20
483041;4;7/02/2021;30773.43;27.80
483052;4;8/02/2021;30778.02;28.26
483062;4;8/02/2021;30783.22;31.58
